carrington_rotation,year_week,modulation_potentional,k0_au2/s,tilt_angle,year,month,day,polarity
1642,1976.4071038,434,5.34803225806452e-05,6.8,1976,5,27,1
1643,1976.4795081,426,5.47252112676056e-05,6.2,1976,6,23,1
1644,1976.557377,412,5.70200970873787e-05,6.8,1976,7,21,1
1645,1976.6297814,408,5.77047058823529e-05,4.0,1976,8,17,1
1646,1976.7021857,407,5.78779606879607e-05,6.7,1976,9,13,1
1647,1976.7800546,408,5.77047058823529e-05,7.9,1976,10,11,1
1648,1976.852459,404,5.84028712871287e-05,7.1,1976,11,7,1
1649,1976.9275956,411,5.719e-05,7.4,1976,12,4,1
1650,1977.0013661,411,5.719e-05,6.6,1976,12,31,1
1651,1977.0767123,421,5.55272921615202e-05,7.7,1977,1,28,1
1652,1977.1490867,417,5.61828057553957e-05,4.4,1977,2,24,1
1653,1977.2296803,419,5.58534844868735e-05,8.6,1977,3,23,1
1654,1977.3020547,416,5.63486538461539e-05,13.7,1977,4,19,1
1655,1977.3799086,417,5.61828057553957e-05,14.0,1977,5,17,1
1656,1977.4522831,442,5.22804977375566e-05,15.5,1977,6,13,1
1657,1977.5273972,487,4.62659753593429e-05,11.8,1977,7,10,1
1658,1977.6025114,476,4.76311764705882e-05,10.0,1977,8,7,1
1659,1977.6748858,475,4.77584210526316e-05,12.5,1977,9,3,1
1660,1977.7488584,475,4.77584210526316e-05,12.3,1977,9,30,1
1661,1977.8239726,438,5.28749315068493e-05,12.4,1977,10,27,1
1662,1977.8990867,408,5.77047058823529e-05,16.3,1977,11,24,1
1663,1977.9742009,418,5.60177511961723e-05,15.7,1977,12,21,1
1664,1978.0465753,478,4.73782845188285e-05,26.7,1978,1,17,1
1665,1978.1189497,496,4.51940322580645e-05,36.1,1978,2,13,1
1666,1978.2022831,510,4.36017647058824e-05,32.7,1978,3,13,1
1667,1978.2746575,588,3.61185714285714e-05,26.5,1978,4,9,1
1668,1978.3497716,669,3.01944843049327e-05,30.4,1978,5,6,1
1669,1978.4248858,602,3.49806976744186e-05,24.5,1978,6,3,1
1670,1978.4988584,602,3.49806976744186e-05,27.1,1978,6,30,1
1671,1978.5739726,591,3.58702030456853e-05,26.4,1978,7,27,1
1672,1978.646347,495,4.53112121212121e-05,34.1,1978,8,23,1
1673,1978.7214611,495,4.53112121212121e-05,51.3,1978,9,20,1
1674,1978.7965753,566,3.80203886925795e-05,46.5,1978,10,17,1
1675,1978.8689497,528,4.16786363636364e-05,43.9,1978,11,13,1
1676,1978.9440639,530,4.14730188679245e-05,45.3,1978,12,10,1
1677,1979.019178,584,3.6453698630137e-05,47.5,1979,1,7,1
1678,1979.0915525,609,3.44313793103448e-05,59.2,1979,2,3,1
1679,1979.1721461,653,3.12481929555896e-05,55.2,1979,3,2,1
1680,1979.2488584,653,3.12481929555896e-05,65.4,1979,3,30,1
1681,1979.3212328,738,2.61737398373984e-05,67.6,1979,4,26,1
1682,1979.396347,706,2.79407082152975e-05,62.5,1979,5,23,1
1683,1979.4687214,812,2.26210344827586e-05,66.3,1979,6,19,1
1684,1979.5465753,799,2.31975093867334e-05,71.5,1979,7,17,1
1685,1979.6189497,906,1.89449668874172e-05,62.0,1979,8,13,1
1686,1979.6913242,860,2.0643488372093e-05,70.6,1979,9,9,1
1687,1979.769178,778,2.41694344473008e-05,73.8,1979,10,7,1
1688,1979.8415525,774,2.43605426356589e-05,70.9,1979,11,3,1
1689,1979.9155251,774,2.1750484496124e-05,69.1,1979,11,30,-1
1690,1979.9906392,688,2.58989825581395e-05,72.0,1979,12,27,-1
1691,1980.0655737,716,2.44388966480447e-05,65.1,1980,1,24,-1
1692,1980.1379781,743,2.31351783310902e-05,69.8,1980,2,20,-1
1693,1980.2158469,686,2.60078352769679e-05,64.8,1980,3,18,-1
1694,1980.2882513,762,2.22731299212598e-05,50.4,1980,4,14,-1
1695,1980.3661202,757,2.24957892998679e-05,41.0,1980,5,12,-1
1696,1980.4385245,886,1.75551636568849e-05,31.2,1980,6,8,-1
1697,1980.5136612,885,1.75879237288136e-05,44.0,1980,7,5,-1
1698,1980.5887978,855,1.86063596491228e-05,48.5,1980,8,2,-1
1699,1980.6625683,855,1.86063596491228e-05,42.7,1980,8,29,-1
1700,1980.7349726,866,1.82247401847575e-05,44.2,1980,9,25,-1
1701,1980.8101092,960,1.53203125e-05,47.3,1980,10,22,-1
1702,1980.8852459,1052,1.29802756653992e-05,47.3,1980,11,19,-1
1703,1980.9603825,1038,1.33096098265896e-05,37.3,1980,12,16,-1
1704,1981.0328767,878,1.78193337129841e-05,40.0,1981,1,12,-1
1705,1981.1052511,968,1.5099173553719e-05,50.0,1981,2,8,-1
1706,1981.1885844,995,1.43790829145729e-05,49.7,1981,3,8,-1
1707,1981.2609589,1055,1.29108412322275e-05,54.6,1981,4,4,-1
1708,1981.336073,1124,1.14161476868327e-05,47.6,1981,5,1,-1
1709,1981.4127853,1124,1.14161476868327e-05,42.2,1981,5,29,-1
1710,1981.4851598,967,1.51266158221303e-05,44.4,1981,6,25,-1
1711,1981.5602739,930,1.61834677419355e-05,36.9,1981,7,22,-1
1712,1981.6326484,923,1.63929442036836e-05,31.1,1981,8,18,-1
1713,1981.7077625,871,1.805446326062e-05,35.0,1981,9,15,-1
1714,1981.7828767,1046,1.31203393881453e-05,33.3,1981,10,12,-1
1715,1981.8552511,1010,1.39956683168317e-05,27.2,1981,11,8,-1
1716,1981.933105,886,1.75551636568849e-05,28.0,1981,12,6,-1
1717,1982.0054794,813,2.01584409594096e-05,29.8,1982,1,2,-1
1718,1982.079452,813,2.01584409594096e-05,37.3,1982,1,29,-1
1719,1982.1518264,982,1.4720850305499e-05,31.4,1982,2,25,-1
1720,1982.2351598,828,1.95860507246377e-05,38.9,1982,3,25,-1
1721,1982.3075342,798,2.07523496240602e-05,41.5,1982,4,21,-1
1722,1982.3826484,758,2.24510224274406e-05,44.9,1982,5,18,-1
1723,1982.4550228,1009,1.40208746283449e-05,48.9,1982,6,14,-1
1724,1982.5328767,1258,8.98181637519873e-06,47.8,1982,7,12,-1
1725,1982.6052511,1240,9.27822580645161e-06,49.1,1982,8,8,-1
1726,1982.6776255,1422,6.62684599156118e-06,46.7,1982,9,4,-1
1727,1982.7554794,1222,9.5833674304419e-06,34.7,1982,10,2,-1
1728,1982.829452,1222,9.5833674304419e-06,28.2,1982,10,29,-1
