year_week,moodulation_potentional,k0_au2/s,k0_m2/s,V,year,month
1951.12,661,1.33131618759455E-004,2.99546142208775E+018,400,1951,2
1951.20,651,1.35176651305684E-004,3.04147465437788E+018,400,1951,3
1951.29,642,1.37071651090343E-004,3.08411214953271E+018,400,1951,4
1951.37,601,1.46422628951747E-004,3.29450915141431E+018,400,1951,5
1951.45,571,1.54115586690018E-004,3.46760070052539E+018,400,1951,6
1951.54,600,1.46666666666667E-004,3.30000000000000E+018,400,1951,7
1951.62,623,1.41252006420546E-004,3.17817014446228E+018,400,1951,8
1951.70,580,1.51724137931035E-004,3.41379310344828E+018,400,1951,9
1951.79,574,1.53310104529617E-004,3.44947735191638E+018,400,1951,10
1951.87,588,1.49659863945578E-004,3.36734693877551E+018,400,1951,11
1951.95,573,1.53577661431065E-004,3.45549738219895E+018,400,1951,12
1952.04,599,1.46911519198664E-004,3.30550918196995E+018,400,1952,1
1952.12,609,1.44499178981938E-004,3.25123152709360E+018,400,1952,2
1952.20,622,1.41479099678457E-004,3.18327974276527E+018,400,1952,3
1952.29,595,1.47899159663866E-004,3.32773109243697E+018,400,1952,4
1952.37,557,1.57989228007181E-004,3.55475763016158E+018,400,1952,5
1952.45,540,1.62962962962963E-004,3.66666666666667E+018,400,1952,6
1952.54,528,1.66666666666667E-004,3.75000000000000E+018,400,1952,7
1952.62,529,1.66351606805293E-004,3.74291115311909E+018,400,1952,8
1952.70,521,1.68905950095969E-004,3.80038387715931E+018,400,1952,9
1952.79,558,1.57706093189964E-004,3.54838709677419E+018,400,1952,10
1952.87,541,1.62661737523105E-004,3.65988909426987E+018,400,1952,11
1952.95,553,1.59132007233273E-004,3.58047016274864E+018,400,1952,12
1953.04,575,1.53043478260870E-004,3.44347826086957E+018,400,1953,1
1953.12,563,1.56305506216696E-004,3.51687388987567E+018,400,1953,2
1953.20,569,1.54657293497364E-004,3.47978910369069E+018,400,1953,3
1953.29,565,1.55752212389381E-004,3.50442477876106E+018,400,1953,4
1953.37,564,1.56028368794326E-004,3.51063829787234E+018,400,1953,5
1953.45,553,1.59132007233273E-004,3.58047016274864E+018,400,1953,6
1953.54,561,1.56862745098039E-004,3.52941176470588E+018,400,1953,7
1953.62,556,1.58273381294964E-004,3.56115107913669E+018,400,1953,8
1953.70,553,1.59132007233273E-004,3.58047016274864E+018,400,1953,9
1953.79,543,1.62062615101289E-004,3.64640883977901E+018,400,1953,10
1953.87,545,1.61467889908257E-004,3.63302752293578E+018,400,1953,11
1953.95,533,1.65103189493433E-004,3.71482176360225E+018,400,1953,12
1954.04,527,1.66982922201139E-004,3.75711574952562E+018,400,1954,1
1954.12,515,1.70873786407767E-004,3.84466019417476E+018,400,1954,2
1954.20,497,1.77062374245473E-004,3.98390342052314E+018,400,1954,3
1954.29,504,1.74603174603175E-004,3.92857142857143E+018,400,1954,4
1954.37,499,1.76352705410822E-004,3.96793587174349E+018,400,1954,5
1954.45,501,1.75648702594810E-004,3.95209580838323E+018,400,1954,6
1954.54,495,1.77777777777778E-004,4.00000000000000E+018,400,1954,7
1954.62,480,1.83333333333333E-004,4.12500000000000E+018,400,1954,8
1954.70,485,1.81443298969072E-004,4.08247422680412E+018,400,1954,9
1954.79,487,1.80698151950719E-004,4.06570841889117E+018,400,1954,10
1954.87,495,1.77777777777778E-004,4.00000000000000E+018,400,1954,11
1954.95,504,1.74603174603175E-004,3.92857142857143E+018,400,1954,12
1955.04,539,1.63265306122449E-004,3.67346938775510E+018,400,1955,1
1955.12,505,1.74257425742574E-004,3.92079207920792E+018,400,1955,2
1955.20,503,1.74950298210736E-004,3.93638170974155E+018,400,1955,3
1955.29,503,1.74950298210736E-004,3.93638170974155E+018,400,1955,4
1955.37,496,1.77419354838710E-004,3.99193548387097E+018,400,1955,5
1955.45,500,1.76000000000000E-004,3.96000000000000E+018,400,1955,6
1955.54,500,1.76000000000000E-004,3.96000000000000E+018,400,1955,7
1955.62,508,1.73228346456693E-004,3.89763779527559E+018,400,1955,8
1955.70,496,1.77419354838710E-004,3.99193548387097E+018,400,1955,9
1955.79,516,1.70542635658915E-004,3.83720930232558E+018,400,1955,10
1955.87,513,1.71539961013645E-004,3.85964912280702E+018,400,1955,11
1955.95,549,1.60291438979964E-004,3.60655737704918E+018,400,1955,12
1956.04,580,1.51724137931035E-004,3.41379310344828E+018,400,1956,1
1956.12,606,1.45214521452145E-004,3.26732673267327E+018,400,1956,2
1956.20,656,1.34146341463415E-004,3.01829268292683E+018,400,1956,3
1956.29,613,1.43556280587276E-004,3.23001631321370E+018,400,1956,4
1956.37,637,1.38147566718995E-004,3.10832025117739E+018,400,1956,5
1956.45,627,1.40350877192983E-004,3.15789473684211E+018,400,1956,6
1956.54,602,1.46179401993356E-004,3.28903654485050E+018,400,1956,7
1956.62,607,1.44975288303130E-004,3.26194398682043E+018,400,1956,8
1956.70,632,1.39240506329114E-004,3.13291139240506E+018,400,1956,9
1956.79,580,1.51724137931035E-004,3.41379310344828E+018,400,1956,10
1956.87,663,1.32730015082956E-004,2.98642533936652E+018,400,1956,11
1956.95,775,1.13548387096774E-004,2.55483870967742E+018,400,1956,12
1957.04,856,1.02803738317757E-004,2.31308411214953E+018,400,1957,1
1957.12,863,1.01969872537659E-004,2.29432213209734E+018,400,1957,2
1957.20,840,1.04761904761905E-004,2.35714285714286E+018,400,1957,3
1957.29,914,9.62800875273523E-005,2.16630196936543E+018,400,1957,4
1957.37,872,1.00917431192661E-004,2.27064220183486E+018,400,1957,5
1957.45,902,9.75609756097561E-005,2.19512195121951E+018,400,1957,6
