year,day_of_year,P116_flux,P190_flux
1994,1, 1.3152172897196236E-004, 1.0003294392523366E-004
1994,2, 1.3142832980972521E-004, 1.0277632135306550E-004
1994,3, 1.3041943793910978E-004, 1.0284777517564396E-004
1994,4, 1.2884638694638680E-004, 9.9435431235431166E-005
1994,5, 1.3188922018348602E-004, 1.0142568807339448E-004
1994,6, 1.3101074766355128E-004, 9.9841355140187015E-005
1994,7, 1.3005952941176453E-004, 9.9560941176470475E-005
1994,8, 1.3031002277904310E-004, 9.7853075170842790E-005
1994,9, 1.2696327944572731E-004, 9.7996535796766724E-005
1994,10, 1.2699819004524882E-004, 9.9774434389140337E-005
1994,11, 1.2440428571428543E-004, 9.7394285714285696E-005
1994,12, 1.2245772594752171E-004, 9.8318367346938759E-005
1994,13, 1.3243461538461535E-004, 1.0130384615384614E-004
1994,14, 1.2939859154929566E-004, 1.0015774647887327E-004
1994,15, 1.3326838565022413E-004, 1.0318677130044841E-004
1994,16, 1.3140898617511503E-004, 1.0320046082949302E-004
1994,17, 1.3526148148148138E-004, 1.0472567901234581E-004
1994,18, 1.3671097852028635E-004, 1.0360214797136033E-004
1994,19, 1.3211614583333330E-004, 1.0101171875000004E-004
1994,20, 1.3249738095238067E-004, 1.0172904761904758E-004
1994,21, 1.2680878378378363E-004, 9.8661711711711602E-005
1994,22, 1.2991842696629196E-004, 9.9783820224718959E-005
1994,23, 1.2854988662131501E-004, 1.0269274376417222E-004
1994,24, 1.3113246445497617E-004, 1.0195829383886256E-004
1994,25, 1.2672634032634015E-004, 1.0050792540792533E-004
1994,26, 1.3144353562005273E-004, 1.0391240105540898E-004
1994,27, 1.3591201814058942E-004, 1.0455895691609980E-004
1994,28, 1.3675314685314679E-004, 1.0293589743589737E-004
1994,29, 1.3205170842824581E-004, 1.0341389521640083E-004
1994,30, 1.2974662162162147E-004, 1.0436666666666669E-004
1994,31, 1.4127324263038527E-004, 1.0509138321995470E-004
1994,32, 1.3517027649769561E-004, 1.0413525345622112E-004
1994,33, 1.2906577669902902E-004, 1.0131844660194170E-004
1994,34, 1.3448503562945359E-004, 1.0295866983372917E-004
1994,35, 1.3147249417249412E-004, 1.0217016317016314E-004
1994,36, 1.3477475728155321E-004, 1.0109830097087366E-004
1994,37, 1.2915560859188532E-004, 9.8306682577565640E-005
1994,38, 1.3159818181818168E-004, 1.0029568181818188E-004
1994,39, 1.2922482915717523E-004, 1.0051389521640084E-004
1994,40, 1.3551149425287341E-004, 9.8452413793103351E-005
1994,41, 1.2760396475770925E-004, 9.3755066079295111E-005
1994,42, 1.2749607390300215E-004, 9.8300923787528844E-005
1994,43, 1.3100847058823529E-004, 1.0039599999999998E-004
1994,44, 1.2982888349514550E-004, 9.7674999999999853E-005
1994,45, 1.2664021739130417E-004, 9.0319836956521748E-005
1994,46, 2.5703112840466918E-005, 1.9235797665369660E-005
1994,47, 1.2793141486810549E-004, 9.6516546762590046E-005
1994,48, 1.3138187919463078E-004, 9.8226621923937349E-005
1994,49, 1.3223580246913557E-004, 9.8238024691358011E-005
1994,50, 1.2602649164677782E-004, 9.8078997613365023E-005
1994,51, 1.3237848970251701E-004, 9.9459954233409518E-005
1994,52, 1.2861641414141408E-004, 1.0195328282828281E-004
1994,53, 1.3451852731591432E-004, 9.9490736342042744E-005
1994,54, 1.3066837416481062E-004, 1.0172873051224946E-004
1994,55, 1.3576062801932357E-004, 1.0318985507246386E-004
1994,56, 1.3383333333333305E-004, 1.0306393034825869E-004
1994,57, 1.3896443965517223E-004, 1.0470495689655176E-004
1994,58, 1.3152576832151282E-004, 9.8738297872340443E-005
1994,59, 1.3278227571115970E-004, 9.8076148796498859E-005
1994,60, 1.3518477751756414E-004, 1.0268571428571437E-004
1994,61, 1.2630091743119236E-004, 9.9820871559633143E-005
1994,62, 1.3288209302325565E-004, 1.0205860465116279E-004
1994,63, 1.3876714285714276E-004, 1.0210714285714296E-004
1994,64, 1.3111425233644855E-004, 1.0198948598130852E-004
1994,65, 1.3942302325581384E-004, 1.0248046511627906E-004
1994,66, 1.3395978260869544E-004, 1.0281130434782606E-004
1994,67, 1.3489168539325823E-004, 1.0365662921348303E-004
1994,68, 1.4232063492063457E-004, 1.0644149659863945E-004
1994,69, 1.3291973094170379E-004, 1.0139417040358749E-004
1994,70, 1.2613387850467280E-004, 9.4962616822429793E-005
1994,71, 1.2207746478873233E-004, 9.1050469483568169E-005
1994,72, 1.2519217603911969E-004, 9.2026161369193171E-005
