year,month,day,angle,phi,r,theta
1990,11,22,63.2,996,1.0,90.0
1990,12,19,44.0,985,1.0,90.0
1991,1,15,60.9,872,1.0,90.0
1991,2,11,63.3,862,1.0,90.0
1991,3,11,58.3,1257,1.0,90.0
1991,4,7,54.5,1197,1.0,90.0
1991,5,4,49.4,1158,1.0,90.0
1991,5,31,49.1,1158,1.0,90.0
1991,6,28,51.4,2016,1.0,90.0
1991,7,25,47.1,1938,1.0,90.0
1991,8,21,41.0,1471,1.0,90.0
1991,9,18,41.1,1190,1.0,90.0
1991,10,15,40.3,1126,1.0,90.0
1991,11,11,38.0,1115,1.0,90.0
1991,12,8,30.8,1028,1.0,90.0
1992,1,5,27.6,1019,1.0,90.0
1992,2,1,22.6,1066,1.0,90.0
1992,2,28,24.3,1066,1.0,90.0
1992,3,26,25.6,948,1.0,90.0
1992,4,23,19.5,815,1.0,90.0
1992,5,20, 9.3,860,1.0,90.0
1992,6,16,15.4,748,1.0,90.0
1992,7,14,17.5,682,1.0,90.0
1992,8,10,16.3,695,1.0,90.0
1992,9,6,16.0,724,1.0,90.0
1992,10,3,16.3,658,1.0,90.0
1992,10,31,17.0,658,1.0,90.0
1992,11,27,17.6,679,1.0,90.0
1992,12,24,23.5,616,1.0,90.0
1993,1,21,21.3,632,1.0,90.0
1993,2,17,19.5,634,1.0,90.0
1993,3,16,21.5,685,1.0,90.0
1993,4,12,19.8,621,1.0,90.0
1993,5,10,20.8,599,1.0,90.0
1993,6,6,18.6,580,1.0,90.0
1993,7,3,14.9,573,1.0,90.0
1993,7,30,17.0,573,1.0,90.0
1993,8,27,15.5,571,1.0,90.0
1993,9,23,17.3,548,1.0,90.0
1993,10,20,14.6,545,1.0,90.0
1993,11,17,17.1,534,1.0,90.0
1993,12,14,18.5,541,1.0,90.0
1994,1,10,18.0,536,1.0,90.0
1994,2,6,17.7,598,1.0,90.0
1994,3,6,17.5,603,1.0,90.0
1994,4,2,17.3,605,1.0,90.0
1994,4,29,17.5,605,1.0,90.0
1994,5,26,15.1,576,1.0,90.0
1994,6,23,12.3,573,1.0,90.0
1994,7,20,10.0,544,1.0,90.0
1994,8,16,10.4,518,1.0,90.0
1994,9,13,11.2,497,1.0,90.0
1994,10,10,10.7,507,1.0,90.0
1994,11,6,10.7,499,1.0,90.0
1994,12,3, 9.1,505,1.0,90.0
1994,12,31, 9.8,505,1.0,90.0
1995,1,27, 8.6,484,1.0,90.0
1995,2,23, 7.7,470,1.0,90.0
1995,3,23,11.6,494,1.0,90.0
1995,4,19,10.2,476,1.0,90.0
1995,5,16,10.0,468,1.0,90.0
1995,6,12,10.3,472,1.0,90.0
1995,7,10,10.0,473,1.0,90.0
1995,8,6, 6.8,464,1.0,90.0
1995,9,2, 7.2,459,1.0,90.0
1995,9,29, 5.9,459,1.0,90.0
1995,10,27, 5.3,457,1.0,90.0
1995,11,23, 5.4,451,1.0,90.0
1995,12,20, 4.3,437,1.0,90.0
1996,1,17, 3.0,436,1.0,90.0
1996,2,13, 2.8,414,1.0,90.0
1996,3,11, 4.5,412,1.0,90.0
1996,4,7, 5.0,411,1.0,90.0
1996,5,5, 4.2,419,1.0,90.0
1996,6,1, 4.8,424,1.0,90.0
1996,6,28, 6.1,424,1.0,90.0
1996,7,25, 7.7,425,1.0,90.0
